DateReceived,DateLetterSigned
2017-01-31,NRN
2017-01-31,NRN
2017-01-31,2017-03-02
2017-02-02,2017-03-10
2017-02-03,2017-03-03
2017-02-06,2017-02-16
2017-02-08,2017-03-01
2017-02-08,2017-03-07
2017-02-21,2017-03-23
2017-02-22,2017-03-21
2017-02-22,2017-03-22
2017-02-24,2017-03-24
2017-02-24,NRN
2017-03-13,2017-04-03
2017-03-21,2017-02-15
2017-03-21,N/A
2017-03-21,N/A
2017-03-22,2017-04-06
2017-04-24,2017-05-08
2017-04-27,2017-05-08
2017-03-27,2017-04-21
2017-03-29,N/A
2017-03-30,2017-03-07
2017-04-03,2017-04-21
2017-04-04,2017-04-21
2017-05-09,2017-05-09
2017-05-23,2017-06-13
2017-05-25,2017-06-01
2017-06-21,2017-06-27
2017-06-26,2017-07-11
2017-06-28,2017-07-04
2017-06-29,N/A
2017-06-30,2017-07-03
2017-07-04,2017-07-11
2017-07-05,N/A
2017-07-10,2017-07-10
2017-07-11,2017-07-17
2017-07-11,2017-07-25
2017-07-11,N/A
2017-07-13,NRN
2017-07-19,2017-07-19
2017-08-18,2017-08-25
2017-08-22,2017-08-24
2017-08-22,2017-09-06
2017-08-29,2017-09-01
2017-09-04,NRN
2017-09-15,NRN
2017-09-15,NRN
2017-09-18,NRN
2017-09-20,NRN
2017-09-20,NRN
2017-09-22,NRN
2017-09-29,2017-10-04
2017-09-29,2017-10-04
2017-09-27,NRN
2017-10-02,2017-11-07
2017-10-02,NRN
2017-10-04,NRN
2017-10-05,NRN
2017-10-23,2017-10-30
2017-10-27,2017-11-10
2017-11-02,2017-11-17
2017-11-07,2017-11-17
2017-11-07,2017-11-07
,2017-11-16
2017-11-17,2017-11-24
2017-11-20,2017-12-04
2017-11-20,NRN
2017-11-21,2017-11-30
2017-11-27,2017-12-15
2017-11-29,2017-11-07
2017-12-05,2017-12-20
2017-12-12,2017-12-20
2017-12-14,2017-12-20
2017-12-21,2017-01-08
2017-12-29,NRN
